label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
weapon,568,1003,78,27,Scene6_12.png,924,1358
person,233,994,76,218,Scene6_13.png,924,1358
weapon,289,1053,34,31,Scene6_13.png,924,1358
person,319,988,73,218,Scene6_14.png,924,1358
weapon,363,1048,23,40,Scene6_14.png,924,1358
person,373,983,69,220,Scene6_15.png,924,1358
weapon,421,1044,38,34,Scene6_15.png,924,1358
person,340,988,63,203,Scene6_2.png,924,1358
weapon,386,1051,31,27,Scene6_2.png,924,1358
person,235,1019,79,216,Scene6_3.png,924,1358
weapon,280,1041,81,54,Scene6_3.png,924,1358
person,296,1023,92,204,Scene6_4.png,924,1358
weapon,347,1046,87,45,Scene6_4.png,924,1358
person,404,1008,54,191,Scene6_5.png,924,1358
weapon,435,1039,87,38,Scene6_5.png,924,1358
person,462,977,112,200,Scene6_6.png,924,1358
weapon,518,1024,67,52,Scene6_6.png,924,1358
person,540,967,90,197,Scene6_7.png,924,1358
weapon,592,1021,60,40,Scene6_7.png,924,1358
person,604,959,94,173,Scene6_8.png,924,1358
weapon,664,1003,60,40,Scene6_8.png,924,1358
person,247,1014,81,177,Scene6_9.png,924,1358
weapon,282,1037,61,54,Scene6_9.png,924,1358
